"","ID","CCAvg","Mortgage","Personal.Loan","Securities.Account","CD.Account","Online","CreditCard"
"1",64,0,0,0,0,0,1,0
"2",129,0,0,0,1,0,1,0
"3",211,0,0,0,0,0,1,0
"4",254,0,0,0,0,0,0,0
"5",261,0,0,0,0,0,0,1
"6",297,0,0,0,0,0,1,0
"7",445,0,0,0,0,0,1,1
"8",935,0,0,0,0,0,1,0
"9",993,0,0,0,0,0,1,0
"10",1006,0,0,0,0,0,1,0
"11",1074,0,0,0,0,0,1,1
"12",1086,0,0,0,1,0,0,0
"13",1099,0,0,0,0,0,1,1
"14",1249,0,0,0,0,0,1,0
"15",1321,0,0,1,0,0,1,0
"16",1387,0,0,0,0,0,1,0
"17",1477,0,0,0,0,0,0,1
"18",1493,0,0,0,0,0,1,0
"19",1495,0,0,0,0,0,1,1
"20",1507,0,0,0,0,0,1,1
"21",1563,0,0,0,0,0,1,0
"22",1568,0,0,0,0,0,1,0
"23",1581,0,0,0,0,0,0,0
"24",1634,0,0,0,0,0,0,0
"25",1639,0,0,0,0,0,1,1
"26",1640,0,0,0,1,0,1,0
"27",1644,0,0,0,0,0,1,0
"28",1757,0,0,0,0,0,0,0
"29",1761,0,0,0,0,0,1,0
"30",1792,0,0,0,0,1,1,1
"31",1824,0,0,0,0,0,1,1
"32",1905,0,0,0,0,0,1,0
"33",1961,0,0,0,0,0,1,0
"34",2012,0,0,0,0,0,1,0
"35",2029,0,0,0,0,0,0,0
"36",2072,0,0,0,0,0,1,0
"37",2128,0,0,0,0,0,0,0
"38",2199,0,0,0,0,0,1,0
"39",2238,0,0,0,0,0,1,1
"40",2275,0,0,0,0,0,1,0
"41",2358,0,0,0,0,0,0,0
"42",2547,0,0,0,1,0,0,0
"43",2621,0,0,0,0,0,0,0
"44",2643,0,0,0,0,0,1,0
"45",2668,0,0,0,0,0,1,0
"46",2840,0,0,0,0,0,1,0
"47",2864,0,0,0,0,0,1,1
"48",2865,0,0,0,0,0,1,1
"49",2945,0,0,0,0,0,0,0
"50",3165,0,0,0,0,0,1,1
"51",3253,0,0,0,0,0,1,0
"52",3261,0,0,0,0,0,0,0
"53",3397,0,0,0,0,0,1,1
"54",3403,0,0,0,0,0,1,1
"55",3425,0,0,0,0,0,1,1
"56",3533,0,0,0,0,0,1,1
"57",3544,0,0,0,0,0,0,0
"58",3583,0,0,0,0,0,1,0
"59",3589,0,0,0,0,0,1,0
"60",3630,0,0,0,0,0,1,1
"61",3838,0,0,0,0,0,1,0
"62",3879,0,0,0,0,0,1,1
"63",3904,0,0,0,0,0,0,0
"64",3939,0,0,0,0,0,1,0
"65",4054,0,0,0,0,0,0,0
"66",4085,0,0,0,1,0,0,0
"67",4099,0,0,0,0,0,0,0
"68",4291,0,0,0,0,0,1,0
"69",4337,0,0,0,0,0,0,0
"70",4404,0,0,0,0,0,0,0
"71",4439,0,0,0,0,0,0,0
"72",4491,0,0,0,1,0,1,0
"73",4503,0,0,0,0,0,0,0
"74",4682,0,0,0,0,0,0,1
"75",4761,0,0,0,0,0,0,1
"76",4838,0,0,0,0,0,0,0
"77",4911,0,0,0,0,0,1,0
"78",1482,0,76,0,1,0,1,0
"79",1974,0,78,0,0,0,0,0
"80",2458,0,85,0,0,0,1,1
"81",199,0,90,0,1,0,1,0
"82",3607,0,96,0,0,0,1,1
"83",2566,0,102,0,0,0,1,0
"84",1683,0,103,0,0,0,1,0
"85",1806,0,114,0,0,0,1,0
"86",4802,0,121,0,0,0,1,0
"87",3935,0,126,0,0,0,0,1
"88",3523,0,134,0,0,0,0,0
"89",963,0,135,0,0,0,0,0
"90",595,0,144,0,0,0,0,0
"91",2768,0,144,0,0,0,1,0
"92",4296,0,146,0,0,0,0,0
"93",4065,0,166,0,0,0,0,0
"94",1464,0,174,0,0,0,1,0
"95",4038,0,178,0,0,0,0,0
"96",3875,0,184,0,0,0,0,0
"97",2209,0,185,0,1,0,1,0
"98",4827,0,225,0,0,0,0,0
"99",1004,0,229,0,0,0,1,0
"100",3417,0,244,0,0,0,1,0
"101",216,0,249,0,0,0,1,1
"102",4950,0,249,0,0,0,0,1
"103",3980,0,258,0,1,1,1,1
"104",3234,0,329,0,0,0,0,0
"105",2028,0,380,0,0,0,0,0
"106",3663,0,500,0,0,0,0,0
"107",12,0.1,0,0,0,0,1,0
"108",57,0.1,0,0,1,1,1,0
"109",100,0.1,0,0,0,0,1,0
"110",106,0.1,0,0,1,0,1,0
"111",180,0.1,0,0,0,0,1,0
"112",208,0.1,0,0,0,0,0,0
"113",305,0.1,0,0,0,0,0,0
"114",397,0.1,0,0,0,0,0,0
"115",430,0.1,0,0,0,0,1,0
"116",503,0.1,0,0,0,0,0,0
"117",508,0.1,0,0,0,0,1,0
"118",543,0.1,0,0,0,0,1,0
"119",552,0.1,0,0,0,0,1,1
"120",608,0.1,0,1,0,0,0,0
"121",638,0.1,0,0,0,0,1,0
"122",683,0.1,0,0,0,0,0,1
"123",748,0.1,0,0,1,1,1,0
"124",810,0.1,0,0,0,0,0,1
"125",815,0.1,0,0,0,0,0,1
"126",850,0.1,0,0,1,1,1,1
"127",865,0.1,0,0,0,0,1,0
"128",878,0.1,0,0,0,0,0,0
"129",925,0.1,0,0,1,0,0,0
"130",931,0.1,0,0,0,0,1,0
"131",980,0.1,0,0,0,0,0,1
"132",1027,0.1,0,0,0,0,1,0
"133",1060,0.1,0,0,0,0,1,1
"134",1061,0.1,0,0,0,0,0,1
"135",1082,0.1,0,0,0,0,0,0
"136",1152,0.1,0,0,1,1,1,0
"137",1181,0.1,0,0,0,0,0,1
"138",1332,0.1,0,0,0,0,1,0
"139",1339,0.1,0,0,0,0,0,0
"140",1364,0.1,0,0,0,0,0,0
"141",1379,0.1,0,0,0,0,1,0
"142",1398,0.1,0,0,0,0,1,0
"143",1401,0.1,0,0,0,0,1,0
"144",1431,0.1,0,0,0,0,1,0
"145",1483,0.1,0,0,0,0,1,0
