Age,Response
52,1
57,1
53,1
57,1
48,1
50,1
54,1
47,1
45,1
66,1
61,1
60,1
53,1
66,1
56,1
58,1
45,1
62,1
51,1
52,1
57,1
48,1
53,1
46,1
45,1
53,1
47,1
50,1
47,1
55,1
65,1
56,1
50,1
51,1
64,1
54,1
52,0
42,0
45,0
33,0
42,0
51,0
43,0
40,0
50,0
29,0
41,0
39,0
33,0
39,0
45,0
37,0
45,0
34,0
45,0
30,0
41,0
39,0
48,0
41,0
47,0
28,0
45,0
37,0
48,0
38,0
39,0
41,0
43,0
47,0
37,0
30,0
39,0
50,0
36,0
28,0
34,0
51,0
43,0
34,0
45,0
31,0
29,0
24,0
36,0
43,0
39,0
42,0
39,0
32,0
29,0
34,0
