index,age,working_sector,financial_weight,qualification,years_of_education,tax_paid,loan_taken,marital_status,occupation,relationship,ethnicity,gender,gain,loss,working_hours,country,target
1,39,state,77516, Bachelors,13,NA,0,Never-married,clerical, Not-in-family, White, Male,2174,0,40, United-States,0
2,50,self_employed,83311, Bachelors,13,NA,0,Married-civilian,managerial, Husband, White, Male,0,0,13, United-States,0
3,38,private,215646, HS-grad,9,NA,0,Divorced,cleaner, Not-in-family, White, Male,0,0,40, United-States,0
4,53,private,234721, 11th,7,NA,0,Married-civilian,cleaner, Husband, Black, Male,0,0,40, United-States,0
5,28,private,338409, Bachelors,13,NA,0,Married-civilian,specialty, Wife, Black, Female,0,0,40, Cuba,0
6,37,private,284582, Masters,14,NA,0,Married-civilian,managerial, Wife, White, Female,0,0,40, United-States,0
7,49,private,160187, 9th,5,NA,0,Married-non-resident,other, Not-in-family, Black, Female,0,0,16, Jamaica,0
8,52,self_employed,209642, HS-grad,9,7021.9959318638,1,Married-civilian,managerial, Husband, White, Male,0,0,45, United-States,1
9,31,private,45781, Masters,14,NA,0,Never-married,specialty, Not-in-family, White, Female,14084,0,50, United-States,1
10,42,private,159449, Bachelors,13,NA,0,Married-civilian,managerial, Husband, White, Male,5178,0,40, United-States,1
11,37,private,280464, Some-college,10,NA,0,Married-civilian,managerial, Husband, Black, Male,0,0,80, United-States,1
12,30,state,141297, Bachelors,13,NA,0,Married-civilian,specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,1
13,23,private,122272, Bachelors,13,NA,0,Never-married,clerical, Own-child, White, Female,0,0,30, United-States,0
14,32,private,205019, Assoc-acdm,12,NA,0,Never-married,sales, Not-in-family, Black, Male,0,0,50, United-States,0
15,40,private,121772, Assoc-voc,11,NA,0,Married-civilian,repair, Husband, Asian-Pac-Islander, Male,0,0,40,NA,1
16,34,private,245487, 7th-8th,4,NA,0,Married-civilian,transport, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico,0
17,25,self_employed,176756, HS-grad,9,NA,0,Never-married,farming, Own-child, White, Male,0,0,35, United-States,0
18,32,private,186824, HS-grad,9,NA,0,Never-married,inspector, Unmarried, White, Male,0,0,40, United-States,0
19,38,private,28887, 11th,7,NA,0,Married-civilian,sales, Husband, White, Male,0,0,50, United-States,0
20,43,self_employed,292175, Masters,14,NA,0,Divorced,managerial, Unmarried, White, Female,0,0,45, United-States,1
21,40,private,193524, Doctorate,16,NA,0,Married-civilian,specialty, Husband, White, Male,0,0,60, United-States,1
22,54,private,302146, HS-grad,9,NA,0,Separated,other, Unmarried, Black, Female,0,0,20, United-States,0
23,35,national,76845, 9th,5,NA,0,Married-civilian,farming, Husband, Black, Male,0,0,40, United-States,0
24,43,private,117037, 11th,7,NA,0,Married-civilian,transport, Husband, White, Male,0,2042,40, United-States,0
25,59,private,109015, HS-grad,9,NA,0,Divorced,support, Unmarried, White, Female,0,0,40, United-States,0
