index,target
31588,0
31589,0
31590,1
31591,0
31592,0
31593,0
31594,1
31595,0
31596,1
31597,0
31598,0
31599,0
31600,1
31601,0
31602,0
31603,1
31604,0
31605,1
31606,0
31607,0
31608,1
31609,1
31610,0
31611,1
31612,0
31613,0
31614,0
31615,1
31616,1
31617,0
31618,0
31619,0
31620,0
31621,0
31622,1
31623,0
31624,1
31625,1
31626,0
31627,1
31628,1
31629,0
31630,1
31631,0
31632,0
31633,1
31634,1
31635,0
31636,1
31637,1
31638,1
31639,1
31640,0
31641,0
31642,0
31643,0
31644,0
31645,0
31646,1
31647,0
31648,0
31649,0
31650,0
31651,0
31652,0
31654,0
31655,0
31656,0
31657,0
31658,0
31659,1
31660,0
31661,0
31662,0
31664,1
31665,0
31666,0
31667,0
31669,0
31670,1
31671,1
31673,0
31674,0
31675,0
31676,0
31677,0
31678,0
31679,0
31680,0
31681,1
31682,0
31683,1
31684,0
31686,0
31688,0
31690,1
31691,0
31693,1
31694,0
31695,1
31696,0
31697,0
31698,0
31699,0
31700,0
31701,0
31703,1
31704,0
31705,0
31706,0
31707,0
31708,0
31709,0
31710,0
31711,0
31712,0
31713,0
31715,0
31716,1
31717,0
31718,0
31719,0
31720,0
31721,1
31722,1
31723,1
31724,0
31725,0
31726,0
31727,1
31728,0
31729,1
31730,0
31731,1
31732,0
31733,0
31735,0
31736,0
31737,0
31738,1
31739,0
31740,1
31742,0
31743,1
31744,1
31745,0
31746,0
31747,1
31748,0
31749,0
31750,0
31751,0
31752,0
31753,0
31754,0
31755,0
31756,1
31757,0
31759,1
31761,0
31762,0
31763,1
31764,1
31766,0
31768,1
31769,0
31770,0
31771,0
31772,0
31773,1
31774,0
31775,0
31776,0
31777,0
31778,1
31779,0
31780,0
31781,1
31782,1
31783,0
31784,0
31785,0
31786,0
31787,0
31788,0
31792,1
31794,0
31795,0
31796,0
31797,1
31798,0
31799,1
31800,1
31801,1
31802,0
31803,0
31804,1
31805,0
31806,0
31807,0
31808,0
31809,0
31810,1
31812,0
31813,0
31814,1
31815,0
31816,0
31817,0
31818,1
31819,1
31820,0
31821,0
31822,0
31823,0
31825,0
31827,0
31828,1
31830,0
31831,0
31832,0
31833,0
31834,0
