"ID","Outcome"
1921,"UE"
486,"UE"
5177,"UE"
4632,"UE"
2735,"W"
6843,"FE"
7756,"UE"
3053,"UE"
9605,"UE"
5662,"UE"
930,"FE"
313,"UE"
6070,"UE"
6207,"UE"
7468,"W"
7814,"W"
1039,"UE"
8476,"UE"
5931,"UE"
5280,"FE"
4575,"UE"
6082,"FE"
6234,"UE"
3410,"UE"
6918,"W"
5034,"W"
3379,"UE"
2425,"W"
1240,"UE"
8575,"UE"
9584,"UE"
4407,"W"
2384,"UE"
7009,"UE"
2962,"UE"
80,"FE"
7973,"UE"
588,"UE"
6607,"UE"
8201,"UE"
3895,"UE"
6071,"FE"
4313,"FE"
1074,"UE"
1787,"UE"
225,"UE"
5125,"UE"
3746,"W"
5402,"UE"
914,"UE"
2196,"UE"
5865,"UE"
4676,"UE"
5267,"W"
4689,"UE"
4814,"UE"
9777,"FE"
6550,"W"
1209,"FE"
9276,"UE"
8870,"UE"
1481,"UE"
3554,"UE"
8510,"UE"
7258,"UE"
3968,"W"
1110,"UE"
1134,"UE"
3196,"UE"
4205,"UE"
9243,"UE"
2304,"UE"
2273,"W"
3856,"W"
6429,"W"
73,"W"
6656,"W"
2940,"UE"
5241,"UE"
105,"UE"
2018,"UE"
5637,"UE"
5820,"UE"
2966,"UE"
5274,"W"
1231,"W"
7922,"W"
175,"UE"
8774,"W"
9838,"FE"
8865,"UE"
3152,"UE"
4298,"UE"
5660,"W"
4829,"FE"
570,"UE"
2332,"UE"
6942,"W"
4212,"W"
392,"UE"
9919,"UE"
165,"UE"
4192,"UE"
5139,"W"
5029,"UE"
8087,"UE"
1083,"UE"
9805,"W"
4937,"W"
3903,"W"
5175,"UE"
9574,"FE"
4556,"FE"
2303,"UE"
7784,"UE"
2118,"W"
8723,"UE"
9005,"W"
1891,"UE"
8497,"UE"
3204,"UE"
5658,"UE"
8107,"UE"
6388,"UE"
7720,"UE"
4917,"UE"
1888,"W"
2148,"UE"
9454,"UE"
5506,"W"
8715,"UE"
6182,"UE"
9833,"UE"
4046,"UE"
9625,"W"
5329,"UE"
6980,"FE"
2625,"FE"
1232,"W"
7558,"UE"
2895,"W"
7670,"UE"
9608,"FE"
4104,"FE"
6265,"UE"
1450,"UE"
8015,"FE"
1517,"UE"
3079,"W"
18,"UE"
2352,"UE"
4675,"UE"
3851,"W"
2720,"W"
6483,"UE"
8233,"W"
1326,"UE"
5754,"W"
9890,"UE"
4567,"FE"
7499,"UE"
3641,"W"
9629,"W"
4463,"UE"
38,"W"
6679,"UE"
7125,"W"
8720,"UE"
4272,"W"
6706,"UE"
4179,"UE"
1485,"UE"
3826,"UE"
3239,"FE"
3026,"UE"
7064,"FE"
816,"UE"
6489,"UE"
4831,"UE"
904,"W"
1762,"W"
8375,"W"
3292,"UE"
2462,"UE"
4464,"UE"
8014,"UE"
5128,"UE"
4594,"UE"
3529,"UE"
1540,"UE"
6880,"UE"
8465,"UE"
216,"UE"
4528,"W"
7284,"UE"
4128,"UE"
727,"W"
5167,"UE"
7903,"W"
3150,"FE"
2248,"W"
1260,"UE"
1761,"UE"
7630,"UE"
3617,"UE"
454,"W"
7288,"W"
9589,"W"
6828,"UE"
8752,"FE"
557,"UE"
6570,"UE"
1221,"FE"
3484,"UE"
7033,"UE"
4497,"W"
2702,"UE"
7718,"UE"
9432,"W"
569,"FE"
8197,"UE"
2915,"UE"
5054,"UE"
344,"W"
9340,"W"
5985,"W"
3306,"UE"
9953,"UE"
5418,"UE"
6291,"UE"
5020,"W"
4330,"UE"
