"rally","serve","hitpoint","speed","net.clearance","distance.from.sideline","depth","outside.sideline","outside.baseline","player.distance.travelled","player.impact.depth","player.impact.distance.from.center","player.depth","player.distance.from.center","previous.speed","previous.net.clearance","previous.distance.from.sideline","previous.depth","opponent.depth","opponent.distance.from.center","same.side","previous.hitpoint","previous.time.to.net","server.is.impact.player","outcome","gender","ID"
4,1,"B",35.51504197,-0.021724541,3.474765783,6.797621362,FALSE,FALSE,1.467570101,14.1758,1.1448,13.6704,0.233,32.31359152,1.350532511,2.449182398,0.705435176,12.5628,2.0724,TRUE,"F",0.445317963,FALSE,"UE","mens",8644
4,2,"B",33.38264003,1.114202377,2.540801064,2.608708239,FALSE,TRUE,2.311931357,12.7396,4.6258,12.6358,2.3162,34.06078799,0.760498827,0.583291279,3.856600252,12.3544,5.1124,FALSE,"B",0.432433973,FALSE,"FE","mens",1182
23,1,"B",22.3166902,-0.254046113,3.533166304,9.435748889,FALSE,FALSE,3.903728131,15.3782,1.4336,13.6996,2.0908,39.80662844,0.377732117,1.11525031,2.908891607,13.862,1.6564,FALSE,"F",0.397537762,TRUE,"FE","mens",9042
9,1,"F",36.83730892,0.76669374,0.586884522,3.342180026,TRUE,FALSE,0.583745287,13.7308,0.0312,13.1492,0.0188,25.01881759,1.23903276,3.256694687,0.557553657,14.2596,0.1606,TRUE,"B",0.671984248,TRUE,"UE","mens",1222
4,1,"B",35.54420828,0.116161877,0.918724921,5.499118581,FALSE,FALSE,2.333455892,15.1992,1.7596,14.131,0.315,36.79097938,0.165731163,1.431145985,3.945317217,11.3658,1.1082,FALSE,"F",0.340411071,FALSE,"W","mens",4085
10,1,"B",39.01218641,0.34988868,0.48509783,3.264708218,TRUE,FALSE,0.804337491,13.1496,0.6864,13.8902,1.0002,29.99418713,0.486882911,2.077334887,5.007206998,13.422,2.0316,TRUE,"F",0.533949676,FALSE,"UE","mens",292
7,1,"B",34.58567177,1.234043937,3.083444775,1.22227892,FALSE,TRUE,2.618519742,14.1286,2.6224,14.0394,0.0054,34.15489353,0.197445017,1.646987968,5.729710498,12.2528,1.1038,FALSE,"F",0.409774379,TRUE,"UE","mens",9288
3,1,"F",34.44574154,0.387827529,0.873201831,1.992688921,FALSE,FALSE,1.925742454,11.3576,2.465,11.4776,0.543,34.61307588,0.227801887,2.162768951,5.043818956,12.4838,4.5872,FALSE,"F",0.419794174,TRUE,"W","mens",9774
11,2,"F",21.83017176,0.541134558,0.494508176,0.346735346,FALSE,TRUE,3.074409478,6.649,0.9376,8.889,1.1682,32.49363487,0.490669827,2.218269216,5.738677488,15.8012,2.8932,FALSE,"V",0.582123372,TRUE,"UE","mens",2615
20,1,"F",45.37917231,0.265429822,1.307052938,5.119994125,FALSE,FALSE,4.842517973,8.5002,1.3718,13.3046,0.7654,18.34311859,4.346790638,3.397721959,4.251290145,13.7284,1.6916,TRUE,"F",1.225011081,FALSE,"W","mens",2357
9,1,"F",33.44386599,2.632042105,0.61630902,4.149696577,TRUE,TRUE,4.015533449,16.6772,2.8474,15.5234,0.9988,35.64824406,0.414880529,0.589479911,2.325037328,10.3184,2.828,FALSE,"F",0.31251411,TRUE,"FE","mens",1579
19,1,"B",24.42012978,1.292726559,0.414690816,0.243340222,FALSE,TRUE,1.942537269,12.706,2.0772,14.6008,1.6492,25.61482377,0.364401135,2.123593466,3.667510227,13.2598,2.0954,FALSE,"B",0.616969139,TRUE,"UE","mens",873
9,2,"B",38.16569869,0.25728657,0.925475136,2.924865606,TRUE,FALSE,1.705334278,13.1814,3.0902,13.2626,1.3868,33.39464694,0.228299371,1.787083212,6.939305333,15.1124,3.3652,FALSE,"F",0.559742543,TRUE,"UE","mens",6027
