"ClaimID","ClaimSize"
"CLM51003","200KandAbove"
"CLM51006","lessthan100K"
"CLM51016","lessthan100K"
"CLM51017","lessthan100K"
"CLM51020","lessthan100K"
"CLM51026","200KandAbove"
"CLM51028","lessthan100K"
"CLM51030","lessthan100K"
"CLM51036","200KandAbove"
"CLM51037","lessthan100K"
"CLM51041","lessthan100K"
"CLM51042","lessthan100K"
"CLM51047","100K-lessthan200K"
"CLM51048","lessthan100K"
"CLM51051","200KandAbove"
"CLM51052","200KandAbove"
"CLM51053","200KandAbove"
"CLM51063","200KandAbove"
"CLM51064","lessthan100K"
"CLM51070","200KandAbove"
"CLM51071","200KandAbove"
"CLM51078","200KandAbove"
"CLM51080","lessthan100K"
"CLM51086","lessthan100K"
"CLM51088","lessthan100K"
"CLM51089","200KandAbove"
"CLM51092","lessthan100K"
"CLM51097","lessthan100K"
"CLM51100","lessthan100K"
"CLM51105","100K-lessthan200K"
"CLM51109","lessthan100K"
"CLM51114","lessthan100K"
"CLM51117","lessthan100K"
"CLM51118","200KandAbove"
"CLM51121","lessthan100K"
"CLM51124","lessthan100K"
"CLM51139","200KandAbove"
"CLM51142","lessthan100K"
"CLM51145","200KandAbove"
"CLM51146","lessthan100K"
"CLM51175","lessthan100K"
"CLM51178","lessthan100K"
"CLM51182","200KandAbove"
"CLM51184","lessthan100K"
"CLM51189","lessthan100K"
"CLM51190","lessthan100K"
"CLM51192","lessthan100K"
"CLM51199","lessthan100K"
"CLM51203","100K-lessthan200K"
"CLM51208","lessthan100K"
"CLM51211","lessthan100K"
"CLM51212","lessthan100K"
"CLM51213","200KandAbove"
"CLM51216","lessthan100K"
"CLM51217","100K-lessthan200K"
"CLM51222","lessthan100K"
"CLM51224","lessthan100K"
"CLM51225","lessthan100K"
"CLM51230","lessthan100K"
"CLM51231","lessthan100K"
"CLM51232","lessthan100K"
"CLM51236","lessthan100K"
"CLM51248","100K-lessthan200K"
"CLM51249","200KandAbove"
"CLM51251","100K-lessthan200K"
"CLM51253","lessthan100K"
"CLM51254","lessthan100K"
"CLM51258","100K-lessthan200K"
"CLM51263","100K-lessthan200K"
"CLM51268","lessthan100K"
"CLM51269","lessthan100K"
"CLM51274","100K-lessthan200K"
"CLM51275","lessthan100K"
"CLM51282","lessthan100K"
"CLM51283","lessthan100K"
"CLM51284","lessthan100K"
"CLM51291","lessthan100K"
"CLM51292","100K-lessthan200K"
"CLM51303","200KandAbove"
"CLM51305","100K-lessthan200K"
"CLM51306","200KandAbove"
"CLM51311","lessthan100K"
"CLM51314","200KandAbove"
"CLM51320","lessthan100K"
"CLM51323","200KandAbove"
"CLM51330","200KandAbove"
"CLM51331","100K-lessthan200K"
"CLM51332","lessthan100K"
"CLM51334","lessthan100K"
"CLM51338","200KandAbove"
"CLM51348","lessthan100K"
"CLM51353","lessthan100K"
"CLM51356","lessthan100K"
"CLM51358","lessthan100K"
"CLM51372","lessthan100K"
"CLM51374","lessthan100K"
"CLM51375","lessthan100K"
"CLM51377","lessthan100K"
"CLM51381","lessthan100K"
"CLM51384","100K-lessthan200K"
"CLM51386","200KandAbove"
"CLM51389","100K-lessthan200K"
"CLM51390","100K-lessthan200K"
"CLM51394","200KandAbove"
"CLM51395","200KandAbove"
"CLM51396","lessthan100K"
"CLM51402","200KandAbove"
"CLM51408","lessthan100K"
"CLM51419","200KandAbove"
"CLM51425","lessthan100K"
"CLM51428","lessthan100K"
"CLM51432","lessthan100K"
"CLM51439","lessthan100K"
"CLM51442","200KandAbove"
"CLM51452","lessthan100K"
"CLM51460","100K-lessthan200K"
"CLM51476","lessthan100K"
"CLM51479","lessthan100K"
"CLM51483","200KandAbove"
"CLM51486","200KandAbove"
"CLM51492","200KandAbove"
"CLM51494","lessthan100K"
"CLM51496","lessthan100K"
"CLM51504","lessthan100K"
"CLM51505","200KandAbove"
"CLM51506","lessthan100K"
"CLM51512","lessthan100K"
"CLM51515","200KandAbove"
"CLM51519","lessthan100K"
"CLM51524","lessthan100K"
"CLM51528","200KandAbove"
"CLM51534","lessthan100K"
"CLM51547","lessthan100K"
"CLM51549","lessthan100K"
"CLM51551","lessthan100K"
"CLM51557","100K-lessthan200K"
"CLM51572","200KandAbove"
"CLM51576","200KandAbove"
"CLM51577","lessthan100K"
"CLM51581","lessthan100K"
"CLM51585","200KandAbove"
"CLM51590","lessthan100K"
"CLM51593","200KandAbove"
"CLM51597","lessthan100K"
"CLM51603","lessthan100K"
"CLM51606","lessthan100K"
"CLM51608","100K-lessthan200K"
"CLM51612","lessthan100K"
"CLM51623","lessthan100K"
"CLM51624","100K-lessthan200K"
"CLM51629","200KandAbove"
"CLM51640","lessthan100K"
"CLM51646","200KandAbove"
"CLM51647","lessthan100K"
"CLM51650","200KandAbove"
"CLM51655","lessthan100K"
"CLM51675","lessthan100K"
"CLM51677","lessthan100K"
"CLM51680","lessthan100K"
"CLM51692","lessthan100K"
"CLM51695","lessthan100K"
"CLM51696","lessthan100K"
"CLM51703","100K-lessthan200K"
"CLM51704","lessthan100K"
"CLM51706","lessthan100K"
"CLM51708","lessthan100K"
"CLM51713","lessthan100K"
"CLM51717","lessthan100K"
"CLM51722","lessthan100K"
"CLM51740","lessthan100K"
"CLM51752","lessthan100K"
"CLM51753","lessthan100K"
"CLM51755","lessthan100K"
"CLM51759","lessthan100K"
"CLM51761","100K-lessthan200K"
"CLM51762","lessthan100K"
"CLM51766","lessthan100K"
"CLM51771","200KandAbove"
"CLM51775","200KandAbove"
"CLM51787","lessthan100K"
"CLM51789","lessthan100K"
"CLM51792","lessthan100K"
"CLM51798","lessthan100K"
"CLM51801","lessthan100K"
"CLM51805","lessthan100K"
"CLM51809","lessthan100K"
"CLM51823","lessthan100K"
"CLM51826","lessthan100K"
"CLM51827","lessthan100K"
"CLM51828","100K-lessthan200K"
"CLM51829","100K-lessthan200K"
"CLM51832","lessthan100K"
"CLM51846","lessthan100K"
"CLM51854","200KandAbove"
"CLM51863","200KandAbove"
"CLM51864","200KandAbove"
"CLM51868","200KandAbove"
"CLM51869","lessthan100K"
"CLM51877","lessthan100K"
"CLM51881","200KandAbove"
"CLM51882","lessthan100K"
"CLM51883","lessthan100K"
"CLM51887","lessthan100K"
"CLM51893","lessthan100K"
"CLM51896","lessthan100K"
"CLM51899","lessthan100K"
"CLM51902","lessthan100K"
"CLM51906","lessthan100K"
"CLM51914","lessthan100K"
"CLM51915","100K-lessthan200K"
"CLM51916","lessthan100K"
"CLM51917","lessthan100K"
"CLM51918","lessthan100K"
"CLM51929","lessthan100K"
"CLM51934","lessthan100K"
"CLM51937","100K-lessthan200K"
"CLM51939","lessthan100K"
"CLM51944","100K-lessthan200K"
"CLM51948","lessthan100K"
"CLM51951","100K-lessthan200K"
"CLM51952","lessthan100K"
"CLM51957","100K-lessthan200K"
"CLM51960","lessthan100K"
"CLM51961","100K-lessthan200K"
"CLM51963","lessthan100K"
"CLM51964","lessthan100K"
"CLM51968","200KandAbove"
"CLM51969","200KandAbove"
"CLM51977","lessthan100K"
"CLM51978","lessthan100K"
"CLM51989","lessthan100K"
"CLM51993","lessthan100K"
"CLM52001","lessthan100K"
"CLM52002","lessthan100K"
"CLM52006","200KandAbove"
"CLM52017","lessthan100K"
"CLM52025","lessthan100K"
"CLM52027","lessthan100K"
"CLM52028","lessthan100K"
"CLM52034","lessthan100K"
"CLM52037","lessthan100K"
"CLM52038","200KandAbove"
"CLM52040","200KandAbove"
"CLM52044","200KandAbove"
"CLM52045","lessthan100K"
"CLM52055","lessthan100K"
"CLM52059","lessthan100K"
"CLM52060","lessthan100K"
"CLM52063","200KandAbove"
"CLM52067","100K-lessthan200K"
"CLM52069","200KandAbove"
"CLM52071","lessthan100K"
"CLM52072","lessthan100K"
"CLM52073","lessthan100K"
"CLM52074","lessthan100K"
"CLM52075","lessthan100K"
"CLM52077","200KandAbove"
"CLM52080","200KandAbove"
"CLM52081","lessthan100K"
"CLM52084","200KandAbove"
"CLM52085","lessthan100K"
"CLM52089","lessthan100K"
"CLM52100","lessthan100K"
"CLM52107","lessthan100K"
"CLM52115","lessthan100K"
"CLM52124","lessthan100K"
"CLM52126","lessthan100K"
"CLM52128","lessthan100K"
"CLM52137","lessthan100K"
"CLM52145","lessthan100K"
"CLM52146","100K-lessthan200K"
"CLM52151","lessthan100K"
"CLM52155","lessthan100K"
"CLM52156","lessthan100K"
"CLM52166","lessthan100K"
"CLM52171","100K-lessthan200K"
"CLM52173","lessthan100K"
"CLM52176","200KandAbove"
"CLM52179","lessthan100K"
"CLM52180","lessthan100K"
"CLM52183","lessthan100K"
"CLM52190","100K-lessthan200K"
"CLM52192","lessthan100K"
"CLM52194","lessthan100K"
"CLM52198","lessthan100K"
"CLM52213","lessthan100K"
"CLM52223","200KandAbove"
"CLM52225","lessthan100K"
"CLM52226","lessthan100K"
"CLM52227","200KandAbove"
"CLM52229","lessthan100K"
"CLM52233","lessthan100K"
"CLM52238","100K-lessthan200K"
"CLM52242","lessthan100K"
"CLM52245","lessthan100K"
"CLM52252","lessthan100K"
