"","age","working_sector","financial_weight","qualification","years_of_education","tax_paid","loan_taken","marital_status","occupation","relationship","ethnicity","gender","gain","loss","working_hours","country","target"
"8",52,"Employed",209642," HS-grad",9,7021.9959318638,"1","Married","managerial"," Husband"," White"," Male",0,0,45," United-States","1"
"38",19,"Employed",544091," HS-grad",9,3171.8000192195,"1","Married","clerical"," Wife"," White"," Female",0,0,25," United-States","0"
"40",48,"Employed",265477," Assoc-acdm",12,7687.0968565345,"1","Married","specialty"," Husband"," White"," Male",0,0,40," United-States","0"
"50",29,"Employed",271466," Assoc-voc",11,8195.9425006062,"0","Un_married","specialty"," Not-in-family"," White"," Male",0,0,43," United-States","0"
"51",25,"Employed",32275," Some-college",10,8480.984759517,"0","Married","managerial"," Wife"," Other"," Female",0,0,40," United-States","0"
"53",47,"Employed",51835," Prof-school",15,8266.9974025339,"0","Married","specialty"," Wife"," White"," Female",0,1902,60," Honduras","1"
"54",50,"Gov",251585," Bachelors",13,5021.5769726783,"0","Un_married","managerial"," Not-in-family"," White"," Male",0,0,55," United-States","1"
"55",47,"Employed",109832," HS-grad",9,6398.672179319,"0","Un_married","managerial"," Not-in-family"," White"," Male",0,0,60," United-States","0"
"56",43,"Employed",237993," Some-college",10,5222.6117951796,"0","Married","support"," Husband"," White"," Male",0,0,40," United-States","1"
"57",46,"Employed",216666," 5th-6th",3,5725.3081304953,"0","Married","inspector"," Husband"," White"," Male",0,0,40," Mexico","0"
"58",35,"Employed",56352," Assoc-voc",11,7106.1531910673,"0","Married","other"," Husband"," White"," Male",0,0,40," Puerto-Rico","0"
"59",41,"Employed",147372," HS-grad",9,6467.4719199538,"0","Married","clerical"," Husband"," White"," Male",0,0,48," United-States","0"
"60",30,"Employed",188146," HS-grad",9,7846.9944745302,"0","Married","inspector"," Husband"," White"," Male",5013,0,40," United-States","0"
"61",30,"Employed",59496," Bachelors",13,6600.0443799421,"0","Married","sales"," Husband"," White"," Male",2407,0,40," United-States","0"
"63",48,"Employed",149640," HS-grad",9,6445.7043576986,"0","Married","transport"," Husband"," White"," Male",0,0,40," United-States","0"
"64",42,"Employed",116632," Doctorate",16,8474.5716666803,"0","Married","specialty"," Husband"," White"," Male",0,0,45," United-States","1"
"65",29,"Employed",105598," Some-college",10,6520.8071731031,"0","Un_married","support"," Not-in-family"," White"," Male",0,0,58," United-States","0"
"66",36,"Employed",155537," HS-grad",9,5092.8102778271,"0","Married","repair"," Husband"," White"," Male",0,0,40," United-States","0"
"67",53,"Employed",169846," HS-grad",9,5945.8447303623,"0","Married","clerical"," Wife"," White"," Female",0,0,40," United-States","1"
"68",49,"Employed",191681," Some-college",10,8226.3796487823,"0","Married","managerial"," Husband"," White"," Male",0,0,50," United-States","1"
"70",19,"Employed",101509," Some-college",10,6178.0681284145,"0","Un_married","specialty"," Own-child"," White"," Male",0,0,32," United-States","0"
"71",31,"Employed",309974," Bachelors",13,5142.2967733815,"0","Un_married","sales"," Own-child"," Black"," Female",0,0,40," United-States","0"
"72",29,"Employed",162298," Bachelors",13,5497.4643737078,"0","Married","sales"," Husband"," White"," Male",0,0,70," United-States","1"
"73",23,"Employed",211678," Some-college",10,8684.0617367998,"0","Un_married","inspector"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"74",79,"Employed",124744," Some-college",10,5320.4881781712,"0","Married","specialty"," Other-relative"," White"," Male",0,0,20," United-States","0"
"75",27,"Employed",213921," HS-grad",9,5197.2071407363,"0","Un_married","other"," Own-child"," White"," Male",0,0,40," Mexico","0"
"76",40,"Employed",32214," Assoc-acdm",12,5391.9061757624,"0","Married","clerical"," Husband"," White"," Male",0,0,40," United-States","0"
"78",18,"Employed",309634," 11th",7,6561.4310093224,"0","Un_married","other"," Own-child"," White"," Female",0,0,22," United-States","0"
"79",31,"Gov",125927," 7th-8th",4,7182.2035331279,"0","Married","farming"," Husband"," White"," Male",0,0,40," United-States","0"
"80",18,"Employed",446839," HS-grad",9,8178.7316994742,"0","Un_married","sales"," Not-in-family"," White"," Male",0,0,30," United-States","0"
"81",52,"Employed",276515," Bachelors",13,8704.555708915,"0","Married","other"," Husband"," White"," Male",0,0,40," Cuba","0"
"82",46,"Employed",51618," HS-grad",9,7534.8869115114,"0","Married","other"," Wife"," White"," Female",0,0,40," United-States","0"
"83",59,"Employed",159937," HS-grad",9,8987.8529589623,"0","Married","sales"," Husband"," White"," Male",0,0,48," United-States","0"
"84",44,"Employed",343591," HS-grad",9,6643.4233728796,"0","Un_married","repair"," Not-in-family"," White"," Female",14344,0,40," United-States","1"
"85",53,"Employed",346253," HS-grad",9,6192.3199370503,"0","Un_married","sales"," Own-child"," White"," Female",0,0,35," United-States","0"
"86",49,"Gov",268234," HS-grad",9,6378.546314314,"0","Married","guard"," Husband"," White"," Male",0,0,40," United-States","1"
"87",33,"Employed",202051," Masters",14,6750.6426377222,"0","Married","specialty"," Husband"," White"," Male",0,0,50," United-States","0"
"88",30,"Employed",54334," 9th",5,6274.2199720815,"0","Un_married","sales"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"89",43,"Gov",410867," Doctorate",16,8069.8659401387,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,0,50," United-States","1"
"90",57,"Employed",249977," Assoc-voc",11,6381.6137872636,"0","Married","specialty"," Husband"," White"," Male",0,0,40," United-States","0"
"91",37,"Employed",286730," Some-college",10,6810.6771381572,"0","Un_married","repair"," Unmarried"," White"," Female",0,0,40," United-States","0"
"92",28,"Employed",212563," Some-college",10,6387.0873721317,"0","Un_married","inspector"," Unmarried"," Black"," Female",0,0,25," United-States","0"
"94",34,"Gov",226296," Bachelors",13,7575.7175879553,"0","Married","guard"," Husband"," White"," Male",0,0,40," United-States","1"
"95",48,"Employed",191277," Doctorate",16,5906.5916538239,"0","Married","specialty"," Husband"," White"," Male",0,1902,60," United-States","1"
"96",37,"Employed",202683," Some-college",10,5994.3622387946,"0","Married","sales"," Husband"," White"," Male",0,0,48," United-States","1"
"97",48,"Employed",171095," Assoc-acdm",12,5400.8944919333,"0","Un_married","managerial"," Unmarried"," White"," Female",0,0,40," England","0"
"98",32,"Gov",249409," HS-grad",9,6295.2088844031,"0","Un_married","other"," Own-child"," Black"," Male",0,0,40," United-States","0"
"99",76,"Employed",124191," Masters",14,5753.9949854836,"0","Married","managerial"," Husband"," White"," Male",0,0,40," United-States","1"
"100",44,"Employed",198282," Bachelors",13,5753.5946005955,"0","Married","managerial"," Husband"," White"," Male",15024,0,60," United-States","1"
"101",47,"Employed",149116," Masters",14,6979.5228121802,"0","Un_married","specialty"," Not-in-family"," White"," Female",0,0,50," United-States","0"
"102",20,"Employed",188300," Some-college",10,8625.7654689252,"0","Un_married","support"," Own-child"," White"," Female",0,0,40," United-States","0"
"103",29,"Employed",103432," HS-grad",9,5839.0441453084,"0","Un_married","repair"," Not-in-family"," White"," Male",0,0,40," United-States","0"
"104",32,"Employed",317660," HS-grad",9,8478.682092391,"0","Married","repair"," Husband"," White"," Male",7688,0,40," United-States","1"
"106",30,"Employed",194901," 11th",7,7934.5350768417,"0","Un_married","cleaner"," Own-child"," White"," Male",0,0,40," United-States","0"
